11:54:25.453 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @13183ms
17:36:30.901 [nREPL-worker-1] INFO  org.eclipse.jetty.server.Server - jetty-9.3.1.v20150714
17:36:31.111 [nREPL-worker-1] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@66485ab5{/,null,AVAILABLE}
17:36:31.179 [nREPL-worker-1] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@67c95525{HTTP/1.1,[http/1.1]}{0.0.0.0:8080}
17:36:31.182 [nREPL-worker-1] INFO  org.eclipse.jetty.server.Server - Started @2827755ms
17:36:43.718 [qtp390965664-45] INFO  io.pedestal.http - {:line 78, :msg "GET /"}
17:36:43.894 [qtp390965664-46] INFO  io.pedestal.http - {:line 78, :msg "GET /favicon.ico"}
17:36:43.942 [qtp390965664-47] INFO  io.pedestal.http - {:line 78, :msg "GET /favicon.ico"}
17:36:59.355 [nREPL-worker-1] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@67c95525{HTTP/1.1,[http/1.1]}{0.0.0.0:8080}
17:36:59.360 [nREPL-worker-1] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@66485ab5{/,null,UNAVAILABLE}
18:42:57.012 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @13737ms
18:43:15.243 [nREPL-worker-0] INFO  org.eclipse.jetty.server.Server - jetty-9.3.1.v20150714
18:43:15.286 [nREPL-worker-0] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@5ab5df9b{/,null,AVAILABLE}
18:43:15.316 [nREPL-worker-0] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@49345ce0{HTTP/1.1,[http/1.1]}{0.0.0.0:8080}
18:43:15.316 [nREPL-worker-0] INFO  org.eclipse.jetty.server.Server - Started @32047ms
18:43:22.183 [qtp767866250-24] INFO  io.pedestal.http - {:line 78, :msg "GET /"}
18:43:23.831 [qtp767866250-24] INFO  datomic.process-monitor - {:event :metrics/initializing, :metricsCallback clojure.core/identity, :phase :begin, :pid 1955, :tid 24}
18:43:23.834 [qtp767866250-24] INFO  datomic.process-monitor - {:event :metrics/initializing, :metricsCallback clojure.core/identity, :msec 1.11, :phase :end, :pid 1955, :tid 24}
18:43:23.835 [qtp767866250-24] INFO  datomic.process-monitor - {:metrics/started clojure.core/identity, :pid 1955, :tid 24}
